date_key,full_date,day,month,month_name,quarter,year,day_of_week,is_weekend
20050420,2005-04-20,20,4,April,2,2005,Wednesday,0
20050421,2005-04-21,21,4,April,2,2005,Thursday,0
20050422,2005-04-22,22,4,April,2,2005,Friday,0
20050423,2005-04-23,23,4,April,2,2005,Saturday,1
20050424,2005-04-24,24,4,April,2,2005,Sunday,1
20050425,2005-04-25,25,4,April,2,2005,Monday,0
20050426,2005-04-26,26,4,April,2,2005,Tuesday,0
20050427,2005-04-27,27,4,April,2,2005,Wednesday,0
20050428,2005-04-28,28,4,April,2,2005,Thursday,0
20050429,2005-04-29,29,4,April,2,2005,Friday,0
20050430,2005-04-30,30,4,April,2,2005,Saturday,1
20050501,2005-05-01,1,5,May,2,2005,Sunday,1
20050502,2005-05-02,2,5,May,2,2005,Monday,0
20050503,2005-05-03,3,5,May,2,2005,Tuesday,0
20050504,2005-05-04,4,5,May,2,2005,Wednesday,0
20050505,2005-05-05,5,5,May,2,2005,Thursday,0
20050506,2005-05-06,6,5,May,2,2005,Friday,0
20050507,2005-05-07,7,5,May,2,2005,Saturday,1
20050508,2005-05-08,8,5,May,2,2005,Sunday,1
20050509,2005-05-09,9,5,May,2,2005,Monday,0
20050510,2005-05-10,10,5,May,2,2005,Tuesday,0
20050511,2005-05-11,11,5,May,2,2005,Wednesday,0
20050512,2005-05-12,12,5,May,2,2005,Thursday,0
20050513,2005-05-13,13,5,May,2,2005,Friday,0
20050514,2005-05-14,14,5,May,2,2005,Saturday,1
20050515,2005-05-15,15,5,May,2,2005,Sunday,1
20050516,2005-05-16,16,5,May,2,2005,Monday,0
20050517,2005-05-17,17,5,May,2,2005,Tuesday,0
20050518,2005-05-18,18,5,May,2,2005,Wednesday,0
20050519,2005-05-19,19,5,May,2,2005,Thursday,0
20050520,2005-05-20,20,5,May,2,2005,Friday,0
20050521,2005-05-21,21,5,May,2,2005,Saturday,1
20050522,2005-05-22,22,5,May,2,2005,Sunday,1
20050523,2005-05-23,23,5,May,2,2005,Monday,0
20050524,2005-05-24,24,5,May,2,2005,Tuesday,0
20050525,2005-05-25,25,5,May,2,2005,Wednesday,0
20050526,2005-05-26,26,5,May,2,2005,Thursday,0
20050527,2005-05-27,27,5,May,2,2005,Friday,0
20050528,2005-05-28,28,5,May,2,2005,Saturday,1
20050529,2005-05-29,29,5,May,2,2005,Sunday,1
20050530,2005-05-30,30,5,May,2,2005,Monday,0
20050531,2005-05-31,31,5,May,2,2005,Tuesday,0
20050601,2005-06-01,1,6,June,2,2005,Wednesday,0
20050602,2005-06-02,2,6,June,2,2005,Thursday,0
20050603,2005-06-03,3,6,June,2,2005,Friday,0
20050604,2005-06-04,4,6,June,2,2005,Saturday,1
20050605,2005-06-05,5,6,June,2,2005,Sunday,1
20050606,2005-06-06,6,6,June,2,2005,Monday,0
20050607,2005-06-07,7,6,June,2,2005,Tuesday,0
20050608,2005-06-08,8,6,June,2,2005,Wednesday,0
20050609,2005-06-09,9,6,June,2,2005,Thursday,0
20050610,2005-06-10,10,6,June,2,2005,Friday,0
20050611,2005-06-11,11,6,June,2,2005,Saturday,1
20050612,2005-06-12,12,6,June,2,2005,Sunday,1
20050613,2005-06-13,13,6,June,2,2005,Monday,0
20050614,2005-06-14,14,6,June,2,2005,Tuesday,0
20050615,2005-06-15,15,6,June,2,2005,Wednesday,0
20050616,2005-06-16,16,6,June,2,2005,Thursday,0
20050617,2005-06-17,17,6,June,2,2005,Friday,0
20050618,2005-06-18,18,6,June,2,2005,Saturday,1
20050619,2005-06-19,19,6,June,2,2005,Sunday,1
20050620,2005-06-20,20,6,June,2,2005,Monday,0
20050621,2005-06-21,21,6,June,2,2005,Tuesday,0
20050622,2005-06-22,22,6,June,2,2005,Wednesday,0
20050623,2005-06-23,23,6,June,2,2005,Thursday,0
20050624,2005-06-24,24,6,June,2,2005,Friday,0
20050625,2005-06-25,25,6,June,2,2005,Saturday,1
20050626,2005-06-26,26,6,June,2,2005,Sunday,1
20050627,2005-06-27,27,6,June,2,2005,Monday,0
20050628,2005-06-28,28,6,June,2,2005,Tuesday,0
20050629,2005-06-29,29,6,June,2,2005,Wednesday,0
20050630,2005-06-30,30,6,June,2,2005,Thursday,0
20050701,2005-07-01,1,7,July,3,2005,Friday,0
20050702,2005-07-02,2,7,July,3,2005,Saturday,1
20050703,2005-07-03,3,7,July,3,2005,Sunday,1
20050704,2005-07-04,4,7,July,3,2005,Monday,0
20050705,2005-07-05,5,7,July,3,2005,Tuesday,0
20050706,2005-07-06,6,7,July,3,2005,Wednesday,0
20050707,2005-07-07,7,7,July,3,2005,Thursday,0
20050708,2005-07-08,8,7,July,3,2005,Friday,0
20050709,2005-07-09,9,7,July,3,2005,Saturday,1
20050710,2005-07-10,10,7,July,3,2005,Sunday,1
20050711,2005-07-11,11,7,July,3,2005,Monday,0
20050712,2005-07-12,12,7,July,3,2005,Tuesday,0
20050713,2005-07-13,13,7,July,3,2005,Wednesday,0
20050714,2005-07-14,14,7,July,3,2005,Thursday,0
20050715,2005-07-15,15,7,July,3,2005,Friday,0
20050716,2005-07-16,16,7,July,3,2005,Saturday,1
20050717,2005-07-17,17,7,July,3,2005,Sunday,1
20050718,2005-07-18,18,7,July,3,2005,Monday,0
